timestep,demand_BBEL_FIN,demand_BEEL_FIN,BESOLPV_P,BBSOLPV_P,BBWIND_P,BEWIND_P,BBRORHYD_P
86,2058.571045624320,1785.668260040010,0.0044,0.0066,0.1398,0.139,0.45
87,2058.049932373380,1785.216230272060,0,0,0.1454,0.1543,0.45
88,2104.950124957850,1825.898909388660,0,0,0.1642,0.177,0.45
89,2201.703485215440,1909.825769640300,0,0,0.1696,0.1823,0.45
90,2209.693888396500,1916.756892749050,0,0,0.1629,0.1746,0.45
91,2167.310010653490,1879.991804954790,0,0,0.1548,0.1726,0.45
92,2037.205402335840,1767.135039553570,0,0,0.1479,0.1656,0.45
93,1911.095995608710,1657.743835706710,0,0,0.1438,0.1621,0.45
94,1858.289852846930,1611.938152553200,0,0,0.1477,0.1657,0.45
95,1714.636300004850,1487.328613184960,0,0,0.1552,0.1691,0.45
96,1626.047047345310,1410.483552631400,0,0,0.1636,0.1789,0.45
97,1586.095031440020,1375.827937087620,0,0,0.1718,0.1987,0.45
98,1549.790808291300,1344.336529919590,0,0,0.1805,0.2334,0.45
99,1576.541288506140,1367.540724674980,0,0,0.1869,0.2637,0.45
100,1601.728428968160,1389.388830126480,0,0,0.1856,0.246,0.45
101,1693.270656716380,1468.795392698520,0,0,0.1841,0.2291,0.45
102,1869.754344367570,1621.882807448380,0,0,0.1806,0.219,0.45
103,2096.786017359810,1818.817109690580,0.0011,0.0019,0.1848,0.2194,0.45
104,2165.399262066720,1878.334362472260,0.0183,0.027,0.1956,0.2319,0.45
105,2188.849358358950,1898.675702030560,0.0344,0.0521,0.1866,0.2264,0.45
106,2214.210203237970,1920.674484071390,0.045,0.0662,0.1731,0.2104,0.45
107,2253.467401475340,1954.727393257880,0.0467,0.0639,0.1643,0.1959,0.45
108,2201.877189632420,1909.976446229620,0.0392,0.0502,0.161,0.2011,0.45
109,2164.183331147860,1877.279626347020,0.0192,0.0272,0.1584,0.2009,0.45
110,2142.470279025420,1858.445052681930,0.0016,0.0034,0.1547,0.1921,0.45
111,2139.691008353750,1856.034227252800,0,0,0.1531,0.1911,0.45
112,2175.647822668510,1887.224281242190,0,0,0.1491,0.1977,0.45
113,2205.698686805970,1913.291331194680,0,0,0.1411,0.1959,0.45
114,2216.815769492660,1922.934632911200,0,0,0.1328,0.1899,0.45
115,2227.585443345400,1932.276581449100,0,0,0.1251,0.1829,0.45
116,2097.307130610750,1819.269139458540,0,0,0.1194,0.1823,0.45
117,1949.310967344190,1690.892685357270,0,0,0.1164,0.1817,0.45
118,1890.077761154170,1639.511968398900,0,0,0.1115,0.1743,0.45
119,1769.353191353410,1534.791738820990,0,0,0.1059,0.1623,0.45
120,1686.843593288140,1463.220358893650,0,0,0.0968,0.1514,0.45
121,1631.431884271670,1415.154526900330,0,0,0.0921,0.1463,0.45
122,1609.892536566210,1396.470629824560,0,0,0.0906,0.142,0.45
123,1622.746663422700,1407.620697434290,0,0,0.0881,0.1357,0.45
124,1630.389657769790,1414.250467364400,0,0,0.083,0.1263,0.45
125,1703.866626152130,1477.986664647080,0,0,0.0792,0.1206,0.45
126,1846.825361326280,1601.993497658040,0,0,0.0787,0.114,0.45
127,2057.876227956390,1785.065553682730,0.0009,0.0023,0.0816,0.1144,0.45
128,2144.381027612200,1860.102495164460,0.0218,0.0348,0.0881,0.1159,0.45
129,2164.009626730880,1877.128949757700,0.0474,0.0719,0.0872,0.1031,0.45
130,2179.643024259040,1890.689842796570,0.0734,0.1078,0.0784,0.087,0.45
131,2187.633427440090,1897.620965905320,0.0878,0.1223,0.0708,0.0754,0.45
132,2172.000029911940,1884.060072866450,0.0744,0.1057,0.0676,0.0679,0.45
